Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
darpa project,87.1,12,0,0.00%,2.00%,0,33.7,Long-term Target,Low,25,1.13,Informational
earn money tutoring online,87.1,12,0,0.00%,2.00%,0,33.7,Long-term Target,Low,22,2.42,Informational
fun bootcamp ideas,87.1,12,0,0.00%,2.00%,0,33.7,Long-term Target,Low,26,1.5,Informational
academy learning game,85.6,10,0,0.00%,2.00%,0,33.7,Long-term Target,Low,33,3.11,Informational
best tutor billing software,85.6,10,0,0.00%,2.00%,0,33.7,Long-term Target,Low,44,4.26,Commercial
chrome books for kids,85.6,10,0,0.00%,2.00%,0,33.7,Long-term Target,Low,16,1.89,Informational
how to teach a kid spanish,90.4,18,0,0.00%,2.00%,0,33.7,Long-term Target,Low,5,0.74,Informational
2nd grade math app,89.4,16,0,0.00%,2.00%,0,33.7,Long-term Target,Low,45,1.66,Informational
edtech developer,87.8,13,0,0.00%,2.00%,0,33.6,Long-term Target,Low,39,1.3,Informational
calculus tutors online,96.9,40,0,0.00%,2.00%,0,33.6,Long-term Target,Low,25,3.64,Informational
english and math tutoring,94.0,28,0,0.00%,2.00%,0,33.6,Long-term Target,Low,21,4.57,Informational
how much for a spanish tutor,92.4,23,0,0.00%,2.00%,0,33.6,Long-term Target,Low,26,2.71,Informational
education startups,94.3,29,0,0.00%,2.00%,0,33.6,Long-term Target,Low,44,3.56,Informational
math simulation,87.2,12,0,0.00%,2.00%,0,33.6,Long-term Target,Low,35,1.17,Informational
best age to homeschool,92.5,23,0,0.00%,2.00%,0,33.6,Long-term Target,Low,43,2.02,Commercial
astro academy,89.0,15,0,0.00%,2.00%,0,33.6,Long-term Target,Low,25,1.09,Informational
engineering summer camps near me,85.7,10,0,0.00%,2.00%,0,33.6,Long-term Target,Low,17,0.7,Informational
free online tutoring uk,95.4,33,0,0.00%,2.00%,0,33.6,Long-term Target,Low,59,2.73,Informational
kids camping games,87.8,13,0,0.00%,2.00%,0,33.6,Long-term Target,Low,25,1.13,Informational
best summer camps for 14 year olds,89.6,16,0,0.00%,2.00%,0,33.6,Long-term Target,Low,32,1.48,Commercial
ai for homeschool,92.5,23,0,0.00%,2.00%,0,33.6,Long-term Target,Low,40,2.68,Informational
1st grader struggling with reading,95.7,34,0,0.00%,2.00%,0,33.6,Long-term Target,Low,14,0.87,Informational
become an online reading tutor,96.4,37,0,0.00%,2.00%,0,33.6,Long-term Target,Low,38,1.72,Informational
how to teach numbers to preschoolers,94.7,30,0,0.00%,2.00%,0,33.6,Long-term Target,Low,10,0.72,Informational
best online math program for elementary,87.2,12,0,0.00%,2.00%,0,33.6,Long-term Target,Low,48,1.2,Commercial
best educational apps,99.4,52,0,0.00%,2.00%,1,33.6,Long-term Target,Low,50,5.44,Commercial
360 training discount code,86.5,11,0,0.00%,2.00%,0,33.6,Long-term Target,Low,38,1.52,Informational
child lock ipad,87.9,13,0,0.00%,2.00%,0,33.6,Long-term Target,Low,40,1.58,Informational
educational game for 4 year old,87.9,13,0,0.00%,2.00%,0,33.6,Long-term Target,Low,24,2.58,Informational
coding math,93.6,26,0,0.00%,2.00%,0,33.6,Long-term Target,Low,33,1.3,Informational
how to find people to tutor,91.9,21,0,0.00%,2.00%,0,33.6,Long-term Target,Low,15,2.23,Informational
alon musk age,88.6,14,0,0.00%,2.00%,0,33.6,Long-term Target,Low,20,1.57,Informational
all of the times tables,86.6,11,0,0.00%,2.00%,0,33.6,Long-term Target,Low,15,1.56,Informational
ai app for teachers,96.9,39,0,0.00%,2.00%,0,33.6,Long-term Target,Low,58,3.6,Informational
innovative lesson plan,90.7,18,0,0.00%,2.00%,0,33.5,Long-term Target,Low,15,1.7,Informational
free esl flashcards,92.3,22,0,0.00%,2.00%,0,33.5,Long-term Target,Low,40,1.56,Informational
homeschool mexico,89.2,15,0,0.00%,2.00%,0,33.5,Long-term Target,Low,38,1.05,Informational
do you do multiplication before addition,88.6,14,0,0.00%,2.00%,0,33.5,Long-term Target,Low,21,0.96,Informational
how to start a summer camp,90.7,18,0,0.00%,2.00%,0,33.5,Long-term Target,Low,7,0.88,Informational
dyslexia in math,94.3,28,0,0.00%,2.00%,0,33.5,Long-term Target,Low,43,1.24,Informational
educational apps for ipad,88.1,13,0,0.00%,2.00%,0,33.5,Long-term Target,Low,37,3.83,Informational
kids programming summer camp,88.1,13,0,0.00%,2.00%,0,33.5,Long-term Target,Low,28,0.65,Informational
alternative to synthesia,94.0,27,0,0.00%,2.00%,0,33.5,Long-term Target,Low,5,1.3,Navigational
free gamification tools,86.7,11,0,0.00%,2.00%,0,33.5,Long-term Target,Low,50,1.47,Informational
fun math apps,97.9,43,0,0.00%,2.00%,0,33.5,Long-term Target,Low,31,1.21,Informational
how to memorize the times table,88.2,13,0,0.00%,2.00%,0,33.5,Long-term Target,Low,5,0.65,Informational
maths tuition for class 8,90.4,17,0,0.00%,2.00%,0,33.5,Long-term Target,Low,35,1.47,Informational
adding worksheets for kindergarten,87.6,12,0,0.00%,2.00%,0,33.5,Long-term Target,Low,19,0.66,Informational
games to play at a camp,88.9,14,0,0.00%,2.00%,0,33.5,Long-term Target,Low,28,1.35,Informational
homeschool mom,88.9,14,0,0.00%,2.00%,0,33.5,Long-term Target,Low,36,1.88,Informational
how to make school fun,95.1,30,0,0.00%,2.00%,0,33.5,Long-term Target,Low,5,1.63,Informational
austin tutor,86.9,11,0,0.00%,2.00%,0,33.4,Long-term Target,Low,39,4.07,Informational
gamifying life,88.3,13,0,0.00%,2.00%,0,33.4,Long-term Target,Low,38,1.77,Informational
boys summer camps,87.7,12,0,0.00%,2.00%,0,33.4,Long-term Target,Low,32,1.2,Informational
grade 8 age,86.2,10,0,0.00%,2.00%,0,33.4,Long-term Target,Low,31,1.26,Informational
best free app for online teaching,97.5,40,0,0.00%,2.00%,0,33.4,Long-term Target,Low,31,1.72,Commercial
how much does a maths tutor charge,91.0,18,0,0.00%,2.00%,0,33.4,Long-term Target,Low,19,2.81,Informational
go math,92.3,21,0,0.00%,2.00%,0,33.4,Long-term Target,Low,62,1.84,Informational
maths enrichment,92.3,21,0,0.00%,2.00%,0,33.4,Long-term Target,Low,35,1.56,Informational
math tutoring center near me,91.5,19,0,0.00%,2.00%,0,33.4,Long-term Target,Low,30,2.26,Informational
go math 5,88.4,13,0,0.00%,2.00%,0,33.4,Long-term Target,Low,54,1.52,Informational
free online math manipulatives,91.9,20,0,0.00%,2.00%,0,33.4,Long-term Target,Low,51,1.07,Informational
english camp summer,87.8,12,0,0.00%,2.00%,0,33.4,Long-term Target,Low,38,1.72,Informational
best gadget for students,93.4,24,0,0.00%,2.00%,0,33.4,Long-term Target,Low,35,1.93,Commercial
create tutoring website,95.0,29,0,0.00%,2.00%,0,33.4,Long-term Target,Low,27,4.7,Informational
frank card benefits,90.1,16,0,0.00%,2.00%,0,33.4,Long-term Target,Low,22,1.62,Informational
how is algebra used in the real world,86.3,10,0,0.00%,2.00%,0,33.4,Long-term Target,Low,7,1.07,Informational
best toddler tablet,87.1,11,0,0.00%,2.00%,0,33.4,Long-term Target,Low,40,2.32,Commercial
elon musk gaming studio,87.1,11,0,0.00%,2.00%,0,33.4,Long-term Target,Low,28,1.63,Informational
flashcard games,91.1,18,0,0.00%,2.00%,0,33.4,Long-term Target,Low,22,1.27,Informational
best free chromebook apps for elementary students,89.1,14,0,0.00%,2.00%,0,33.4,Long-term Target,Low,28,1.67,Commercial
goodbye in dutch,91.6,19,0,0.00%,2.00%,0,33.4,Long-term Target,Low,20,1.21,Informational
jeu de multiplication,92.0,20,0,0.00%,2.00%,0,33.4,Long-term Target,Low,14,1.05,Informational
french private tutor,96.1,33,0,0.00%,2.00%,0,33.4,Long-term Target,Low,44,4.09,Informational
math used in ai,86.4,10,0,0.00%,2.00%,0,33.3,Long-term Target,Low,65,3.57,Informational
maths online class,89.7,15,0,0.00%,2.00%,0,33.3,Long-term Target,Low,41,1.82,Informational
2nd grade math apps,91.2,18,0,0.00%,2.00%,0,33.3,Long-term Target,Low,41,1.38,Informational
best english app for kids,96.2,33,0,0.00%,2.00%,0,33.3,Long-term Target,Low,31,2.25,Commercial
5 year old games online,91.3,18,0,0.00%,2.00%,0,33.3,Long-term Target,Low,28,1.07,Informational
best ipad for children,87.3,11,0,0.00%,2.00%,0,33.3,Long-term Target,Low,30,1.94,Commercial
math questions for 7 year olds,87.3,11,0,0.00%,2.00%,0,33.3,Long-term Target,Low,24,0.79,Informational
bjt working,89.8,15,0,0.00%,2.00%,0,33.3,Long-term Target,Low,39,1.7,Informational
looking for students to tutor,86.5,10,0,0.00%,2.00%,0,33.3,Long-term Target,Low,33,2.31,Informational
360 training coupon code,90.8,17,0,0.00%,2.00%,0,33.3,Long-term Target,Low,35,2.9,Informational
english tuition teacher,96.0,32,0,0.00%,2.00%,0,33.3,Long-term Target,Low,11,1.37,Informational
10 essential skills for teamwork,91.3,18,0,0.00%,2.00%,0,33.3,Long-term Target,Low,22,0.71,Informational
app for solving mathematics,88.7,13,0,0.00%,2.00%,0,33.3,Long-term Target,Low,29,1.15,Informational
best way to learn multiplication facts,95.0,28,0,0.00%,2.00%,0,33.3,Long-term Target,Low,53,3.08,Commercial
how to find a tutor,95.0,28,0,0.00%,2.00%,0,33.3,Long-term Target,Low,26,3.1,Informational
in-school tutor,95.5,30,0,0.00%,2.00%,0,33.3,Long-term Target,Low,37,3.29,Informational
mastery homeschool math curriculum,88.1,12,0,0.00%,2.00%,0,33.3,Long-term Target,Low,15,0.92,Informational
best way to teach mathematics,86.6,10,0,0.00%,2.00%,0,33.3,Long-term Target,Low,53,1.26,Commercial
best learning app for 1st graders,92.3,20,0,0.00%,2.00%,0,33.2,Long-term Target,Low,49,2.97,Commercial
french classes austin,88.2,12,0,0.00%,2.00%,0,33.2,Long-term Target,Low,17,1.78,Informational
maths online free,94.2,25,0,0.00%,2.00%,0,33.2,Long-term Target,Low,54,1.33,Informational
c l a s s 6 m a t h s t u i t i o n,92.4,20,0,0.00%,2.00%,0,33.2,Long-term Target,Low,25,0.72,Informational
learning tools for kindergarten,94.5,26,0,0.00%,2.00%,0,33.2,Long-term Target,Low,22,1.83,Informational
indian best math teacher,87.5,11,0,0.00%,2.00%,0,33.2,Long-term Target,Low,47,2.73,Commercial
how long do pt sessions last,94.2,25,0,0.00%,2.00%,0,33.2,Long-term Target,Low,22,0.72,Informational
how to online tutor,94.6,26,0,0.00%,2.00%,0,33.2,Long-term Target,Low,27,3.42,Informational
maths enrichment program,86.8,10,0,0.00%,2.00%,0,33.2,Long-term Target,Low,39,1.71,Informational
addition lesson plan for kindergarten,92.1,19,0,0.00%,2.00%,0,33.2,Long-term Target,Low,13,1.07,Informational
looking for home tuition teachers,94.0,24,0,0.00%,2.00%,0,33.2,Long-term Target,Low,18,0.65,Informational
math games for ell,94.0,24,0,0.00%,2.00%,0,33.2,Long-term Target,Low,31,1.7,Informational
free educational apps for ipad,89.6,14,0,0.00%,2.00%,0,33.2,Long-term Target,Low,54,2.63,Informational
kids online learning platform,89.6,14,0,0.00%,2.00%,0,33.2,Long-term Target,Low,37,1.96,Informational
games for communication skills,94.6,26,0,0.00%,2.00%,0,33.2,Long-term Target,Low,14,0.73,Informational
how to give my son confidence,95.8,30,0,0.00%,2.00%,0,33.2,Long-term Target,Low,6,0.81,Informational
how much do chromebooks cost for schools,91.2,17,0,0.00%,2.00%,0,33.1,Long-term Target,Low,22,1.11,Transactional
boot camp for teenage girls,89.1,13,0,0.00%,2.00%,0,33.1,Long-term Target,Low,29,0.76,Informational
fun games to play at work for team building,87.7,11,0,0.00%,2.00%,0,33.1,Long-term Target,Low,14,0.69,Informational
free family simulation games,90.3,15,0,0.00%,2.00%,0,33.1,Long-term Target,Low,30,1.1,Informational
kids spanish learning,90.3,15,0,0.00%,2.00%,0,33.1,Long-term Target,Low,29,2.88,Informational
homework help online free,91.3,17,0,0.00%,2.00%,0,33.1,Long-term Target,Low,39,1.06,Informational
maths manipulatives,91.3,17,0,0.00%,2.00%,0,33.1,Long-term Target,Low,34,1.38,Informational
learn spanish video game,88.5,12,0,0.00%,2.00%,0,33.1,Long-term Target,Low,29,3.39,Informational
collaborative problem-solving,97.7,37,0,0.00%,2.00%,0,33.1,Long-term Target,Low,30,0.93,Informational
ai babies,90.3,15,0,0.00%,2.00%,0,33.1,Long-term Target,Low,69,2.37,Informational
curriculum for 2 year olds free,91.4,17,0,0.00%,2.00%,0,33.1,Long-term Target,Low,26,0.79,Informational
math range,91.4,17,0,0.00%,2.00%,0,33.1,Long-term Target,Low,33,1.69,Informational
best learning apps for 8 year olds,92.3,19,0,0.00%,2.00%,0,33.1,Long-term Target,Low,50,3.19,Commercial
app for helping kids learn math,87.8,11,0,0.00%,2.00%,0,33.1,Long-term Target,Low,26,2.78,Informational
5th grade math lessons,98.5,41,0,0.00%,2.00%,0,33.1,Long-term Target,Low,25,1.28,Informational
child learning,94.5,25,0,0.00%,2.00%,0,33.1,Long-term Target,Low,49,4.09,Informational
ipads for children,89.2,13,0,0.00%,2.00%,0,33.1,Long-term Target,Low,38,1.4,Informational
ai education company,88.6,12,0,0.00%,2.00%,0,33.1,Long-term Target,Low,68,8.69,Informational
best way to learn spanish on ipad,87.1,10,0,0.00%,2.00%,0,33.1,Long-term Target,Low,45,3.95,Commercial
homeschooling dyslexia,87.1,10,0,0.00%,2.00%,0,33.1,Long-term Target,Low,23,1.23,Informational
mastery math curriculum homeschool,93.1,21,0,0.00%,2.00%,0,33.1,Long-term Target,Low,33,1.06,Informational
homeschooling gifted child,96.6,32,0,0.00%,2.00%,0,33.1,Long-term Target,Low,17,1.11,Informational
how to teach your child times tables,87.9,11,0,0.00%,2.00%,0,33.0,Long-term Target,Low,5,0.68,Informational
ai in elementary schools,92.8,20,0,0.00%,2.00%,0,33.0,Long-term Target,Low,46,2.42,Informational
adding fractions lesson plan,91.9,18,0,0.00%,2.00%,0,33.0,Long-term Target,Low,14,0.86,Informational
kids cover ipad,89.3,13,0,0.00%,2.00%,0,33.0,Long-term Target,Low,35,1.61,Informational
elon musk new software,95.0,26,0,0.00%,2.00%,0,33.0,Long-term Target,Low,21,1.33,Informational
best apps for homeschooling,96.7,32,0,0.00%,2.00%,0,33.0,Long-term Target,Low,31,2.04,Commercial
accounting tutor,92.4,19,0,0.00%,2.00%,0,33.0,Long-term Target,Low,30,3.5,Informational
kindergarten math learning program,93.2,21,0,0.00%,2.00%,0,33.0,Long-term Target,Low,24,1.89,Informational
google classroom for homeschool,91.5,17,0,0.00%,2.00%,0,33.0,Long-term Target,Low,12,0.76,Informational
children boot camp,88.0,11,0,0.00%,2.00%,0,33.0,Long-term Target,Low,29,1.26,Informational
free online synthesizer,90.5,15,0,0.00%,2.00%,0,33.0,Long-term Target,Low,11,1.71,Navigational
best online calculus tutor,94.0,23,0,0.00%,2.00%,0,33.0,Long-term Target,Low,57,3.58,Commercial
how to tutor reading,93.3,21,0,0.00%,2.00%,0,33.0,Long-term Target,Low,35,3.91,Informational
how many hours homeschooling uk,96.0,29,0,0.00%,2.00%,0,33.0,Long-term Target,Low,7,0.83,Informational
artificial intelligence esl lesson plan,87.3,10,0,0.00%,2.00%,0,33.0,Long-term Target,Low,9,1.07,Informational
5 senses games for preschoolers,88.1,11,0,0.00%,2.00%,0,33.0,Long-term Target,Low,22,1.05,Informational
ai in school education,94.8,25,0,0.00%,2.00%,0,32.9,Long-term Target,Low,42,5.51,Informational
how common is synesthesia,92.2,18,0,0.00%,2.00%,0,32.9,Long-term Target,Low,11,1.42,Informational
how much do summer camps cost,92.2,18,0,0.00%,2.00%,0,32.9,Long-term Target,Low,29,0.89,Transactional
becoming homeschoolers,91.7,17,0,0.00%,2.00%,0,32.9,Long-term Target,Low,26,1.69,Informational
algebra ii tutor,87.4,10,0,0.00%,2.00%,0,32.9,Long-term Target,Low,32,4.17,Informational
how to get the range in math,87.4,10,0,0.00%,2.00%,0,32.9,Long-term Target,Low,23,0.66,Informational
free online school for kids,91.2,16,0,0.00%,2.00%,0,32.9,Long-term Target,Low,42,1.03,Informational
fun learning for kids,97.9,36,0,0.00%,2.00%,0,32.9,Long-term Target,Low,33,4.24,Informational
free math solving apps,92.2,18,0,0.00%,2.00%,0,32.9,Long-term Target,Low,42,1.9,Informational
learning apps for 8 year olds,90.2,14,0,0.00%,2.00%,0,32.9,Long-term Target,Low,25,2.59,Informational
edtech ai,93.9,22,0,0.00%,2.00%,0,32.9,Long-term Target,Low,69,3.8,Informational
kids day camps,89.0,12,0,0.00%,2.00%,0,32.9,Long-term Target,Low,40,1.13,Informational
kid game tablet,92.8,19,0,0.00%,2.00%,0,32.9,Long-term Target,Low,40,1.93,Informational
constellations quiz,88.4,11,0,0.00%,2.00%,0,32.9,Long-term Target,Low,21,1.82,Informational
dyslexia accommodations for math,87.6,10,0,0.00%,2.00%,0,32.9,Long-term Target,Low,35,1.0,Informational
critical thinkers,98.9,40,0,0.00%,2.00%,0,32.9,Long-term Target,Low,24,1.63,Informational
group games for elementary students,95.7,27,0,0.00%,2.00%,0,32.9,Long-term Target,Low,9,0.64,Informational
how to be best in maths,91.9,17,0,0.00%,2.00%,0,32.9,Long-term Target,Low,29,1.92,Commercial
how to find students for online tutoring,90.9,15,0,0.00%,2.00%,0,32.8,Long-term Target,Low,14,2.46,Informational
free flascards,98.5,38,0,0.00%,2.00%,0,32.8,Long-term Target,Low,46,1.35,Informational
can i get an esa for adhd,92.4,18,0,0.00%,2.00%,0,32.8,Long-term Target,Low,13,1.73,Informational
holiday team building games,97.9,35,0,0.00%,2.00%,0,32.8,Long-term Target,Low,30,1.1,Informational
easy constellations,96.4,29,0,0.00%,2.00%,0,32.8,Long-term Target,Low,21,1.16,Informational
ap calculus ab tutor,97.9,35,0,0.00%,2.00%,0,32.8,Long-term Target,Low,47,2.98,Informational
diy flash cards,92.6,18,0,0.00%,2.00%,0,32.8,Long-term Target,Low,33,1.71,Informational
how to screenshot on tablet,98.0,35,0,0.00%,2.00%,0,32.8,Long-term Target,Low,5,1.03,Informational
maths camp,89.9,13,0,0.00%,2.00%,0,32.8,Long-term Target,Low,30,1.36,Informational
french revolution lesson plans,94.9,24,0,0.00%,2.00%,0,32.8,Long-term Target,Low,22,0.73,Informational
educational tablet for students,87.8,10,0,0.00%,2.00%,0,32.8,Long-term Target,Low,33,1.67,Informational
flash cards french,87.8,10,0,0.00%,2.00%,0,32.8,Long-term Target,Low,30,1.09,Informational
how to do times fractions,91.1,15,0,0.00%,2.00%,0,32.8,Long-term Target,Low,5,1.13,Informational
critical thinking games for adults,97.6,33,0,0.00%,2.00%,0,32.8,Long-term Target,Low,18,0.67,Informational
homeschool tools,98.5,37,0,0.00%,2.00%,0,32.8,Long-term Target,Low,34,1.32,Informational
first synthesizer,88.6,11,0,0.00%,2.00%,0,32.8,Long-term Target,Low,12,1.45,Navigational
avis black friday,87.9,10,0,0.00%,2.00%,0,32.7,Long-term Target,Low,21,1.82,Informational
astra micro share price,92.2,17,0,0.00%,2.00%,0,32.7,Long-term Target,Low,12,1.28,Transactional
division flashcards,92.2,17,0,0.00%,2.00%,0,32.7,Long-term Target,Low,26,1.87,Informational
adhd and dyscalculia,97.9,34,0,0.00%,2.00%,0,32.7,Long-term Target,Low,39,1.5,Informational
maths learning center,92.7,18,0,0.00%,2.00%,0,32.7,Long-term Target,Low,28,3.75,Informational
esl math,90.1,13,0,0.00%,2.00%,0,32.7,Long-term Target,Low,47,1.32,Informational
how does an esa help with adhd,90.1,13,0,0.00%,2.00%,0,32.7,Long-term Target,Low,26,1.01,Informational
father of ai,96.0,27,0,0.00%,2.00%,0,32.7,Long-term Target,Low,42,3.78,Informational
best tutoring programs,88.7,11,0,0.00%,2.00%,0,32.7,Long-term Target,Low,52,4.97,Commercial
math learning sites,91.3,15,0,0.00%,2.00%,0,32.7,Long-term Target,Low,40,2.77,Informational
maths tutor rates per hour,94.0,21,0,0.00%,2.00%,0,32.7,Long-term Target,Low,36,1.84,Informational
ai in schools,98.0,34,0,0.00%,2.00%,0,32.7,Long-term Target,Low,40,2.72,Informational
after school enrichment activities for elementary students,38.8,11,1,9.09%,0.00%,0,32.7,Content Optimization,Low,11,0.75,Informational
kindergarten math curriculum homeschool,91.9,16,0,0.00%,2.00%,0,32.7,Long-term Target,Low,23,1.02,Informational
leadership building games,93.3,19,0,0.00%,2.00%,0,32.7,Long-term Target,Low,21,1.64,Informational
educational summer camp programs,91.4,15,0,0.00%,2.00%,0,32.7,Long-term Target,Low,27,2.51,Informational
communication team building games,89.6,12,0,0.00%,2.00%,0,32.7,Long-term Target,Low,20,0.76,Informational
math software,95.6,25,0,0.00%,2.00%,0,32.6,Long-term Target,Low,39,1.23,Informational
manipulatives in education,98.3,35,0,0.00%,2.00%,0,32.6,Long-term Target,Low,30,2.28,Informational
game development classes near me,95.9,26,0,0.00%,2.00%,0,32.6,Long-term Target,Low,11,1.02,Informational
math tutor prices per hour,96.3,27,0,0.00%,2.00%,0,32.6,Long-term Target,Low,32,2.75,Transactional
best tutors,95.0,23,0,0.00%,2.00%,0,32.6,Long-term Target,Low,63,5.66,Commercial
learning tablet for kindergarten,95.0,23,0,0.00%,2.00%,0,32.6,Long-term Target,Low,32,2.12,Informational
family math games,99.3,39,0,0.00%,2.00%,0,32.6,Long-term Target,Low,48,1.89,Informational
homeschool free,98.7,36,0,0.00%,2.00%,0,32.6,Long-term Target,Low,51,1.6,Informational
less than sign in maths,89.8,12,0,0.00%,2.00%,0,32.6,Long-term Target,Low,28,1.82,Informational
math gamification,92.6,17,0,0.00%,2.00%,0,32.6,Long-term Target,Low,36,1.64,Informational
constellation simulator,93.1,18,0,0.00%,2.00%,0,32.6,Long-term Target,Low,17,1.18,Informational
best reading tutoring program,96.1,26,0,0.00%,2.00%,0,32.6,Long-term Target,Low,57,4.75,Commercial
california academy of mathematics and science,91.6,15,0,0.00%,2.00%,0,32.6,Long-term Target,Low,24,0.72,Informational
algebra math tutor,94.7,22,0,0.00%,2.00%,0,32.6,Long-term Target,Low,47,2.95,Informational
how to homeschool a child with dyslexia,94.4,21,0,0.00%,2.00%,0,32.6,Long-term Target,Low,5,0.9,Informational
adhd learning flashcards,92.2,16,0,0.00%,2.00%,0,32.6,Long-term Target,Low,29,4.1,Informational
high school maths tutor near me,97.0,29,0,0.00%,2.00%,0,32.6,Long-term Target,Low,22,1.7,Informational
apps that help you with math,94.4,21,0,0.00%,2.00%,0,32.5,Long-term Target,Low,37,1.13,Informational
i need tutoring help for my child,90.5,13,0,0.00%,2.00%,0,32.5,Long-term Target,Low,31,2.37,Informational
ai course for kids,99.3,38,0,0.00%,2.00%,0,32.5,Long-term Target,Low,55,3.29,Informational
as level maths online tutor,92.2,16,0,0.00%,2.00%,0,32.5,Long-term Target,Low,34,2.28,Informational
all fractions,94.5,21,0,0.00%,2.00%,0,32.5,Long-term Target,Low,31,1.43,Informational
how much does maths tuition cost,94.5,21,0,0.00%,2.00%,0,32.5,Long-term Target,Low,34,1.0,Transactional
how to tutor someone with adhd,98.9,36,0,0.00%,2.00%,0,32.5,Long-term Target,Low,18,1.89,Informational
apps for tutors,93.3,18,0,0.00%,2.00%,0,32.5,Long-term Target,Low,41,3.29,Informational
ai game free,89.3,11,0,0.00%,2.00%,0,32.5,Long-term Target,Low,51,3.01,Informational
mathematics learning center,91.8,15,0,0.00%,2.00%,0,32.5,Long-term Target,Low,33,2.29,Informational
a level tutors,96.0,25,0,0.00%,2.00%,0,32.5,Long-term Target,Low,45,4.39,Informational
card games for 7 year olds,88.5,10,0,0.00%,2.00%,0,32.5,Long-term Target,Low,24,0.74,Informational
how to teach kids maths,88.5,10,0,0.00%,2.00%,0,32.5,Long-term Target,Low,15,1.8,Informational
i need a private tutor for my child,88.5,10,0,0.00%,2.00%,0,32.5,Long-term Target,Low,31,2.79,Informational
best homeschool french curriculum,93.8,19,0,0.00%,2.00%,0,32.5,Long-term Target,Low,45,1.2,Commercial
ai and mathematics,91.9,15,0,0.00%,2.00%,0,32.5,Long-term Target,Low,51,3.5,Informational
unlock free games for school,48.3,33,1,3.03%,0.00%,0,32.5,Content Optimization,Low,44,0.98,Informational
gaming tactics discussion,89.4,11,0,0.00%,2.00%,0,32.5,Long-term Target,Low,17,1.89,Informational
learning apps for 5 year olds,98.6,34,0,0.00%,2.00%,0,32.5,Long-term Target,Low,36,1.92,Informational
math computer games,93.4,18,0,0.00%,2.00%,0,32.5,Long-term Target,Low,46,1.06,Informational
how to teach kids times tables,92.4,16,0,0.00%,2.00%,0,32.5,Long-term Target,Low,5,0.76,Informational
best phones for 11 year olds,91.4,14,0,0.00%,2.00%,0,32.5,Long-term Target,Low,39,1.38,Commercial
become a online tutor,91.9,15,0,0.00%,2.00%,0,32.4,Long-term Target,Low,22,3.75,Informational
free dyslexia test australia,90.8,13,0,0.00%,2.00%,0,32.4,Long-term Target,Low,45,1.11,Informational
ai that does math,46.7,27,1,3.70%,0.00%,0,32.4,Content Optimization,Low,54,2.29,Informational
flash cards addition,97.3,29,0,0.00%,2.00%,0,32.4,Long-term Target,Low,20,1.86,Informational
hard summer dates,90.2,12,0,0.00%,2.00%,0,32.4,Long-term Target,Low,36,1.31,Informational
a level tutor prices,96.2,25,0,0.00%,2.00%,0,32.4,Long-term Target,Low,32,2.92,Transactional
how many kids future has,88.7,10,0,0.00%,2.00%,0,32.4,Long-term Target,Low,24,1.9,Informational
kindergarten math flash cards,88.8,10,0,0.00%,2.00%,0,32.4,Long-term Target,Low,34,0.68,Informational
math app download,88.8,10,0,0.00%,2.00%,0,32.4,Long-term Target,Low,37,1.73,Informational
how to make a video game for kids,93.6,18,0,0.00%,2.00%,0,32.4,Long-term Target,Low,5,1.05,Informational
fractions lesson plans,97.2,28,0,0.00%,2.00%,0,32.4,Long-term Target,Low,13,1.49,Informational
gamify learning,96.6,26,0,0.00%,2.00%,0,32.4,Long-term Target,Low,42,3.18,Informational
help with math online,94.5,20,0,0.00%,2.00%,0,32.4,Long-term Target,Low,40,1.9,Informational
kids sun 4g,91.0,13,0,0.00%,2.00%,0,32.4,Long-term Target,Low,20,1.65,Informational
enrichment services program inc,88.9,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,19,0.69,Informational
homeschool 2 year old curriculum,88.9,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,15,1.17,Informational
1 on 1 tutors,90.4,12,0,0.00%,2.00%,0,32.3,Long-term Target,Low,49,4.3,Informational
app para matematicas,90.4,12,0,0.00%,2.00%,0,32.3,Long-term Target,Low,24,1.32,Informational
best way to learn how to program,89.7,11,0,0.00%,2.00%,0,32.3,Long-term Target,Low,22,3.64,Commercial
apps that teach math,95.0,21,0,0.00%,2.00%,0,32.3,Long-term Target,Low,31,1.53,Informational
kids learning french,93.3,17,0,0.00%,2.00%,0,32.3,Long-term Target,Low,35,4.61,Informational
how to synthesize information,93.8,18,0,0.00%,2.00%,0,32.3,Long-term Target,Low,5,1.09,Navigational
algebra learning app,89.0,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,50,4.21,Informational
elonmusk age,89.0,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,22,1.28,Informational
fraction problem solving,89.0,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,27,1.31,Informational
holiday backgrounds,89.0,10,0,0.00%,2.00%,0,32.3,Long-term Target,Low,39,1.07,Informational
how to turn circumference into diameter,90.5,12,0,0.00%,2.00%,0,32.3,Long-term Target,Low,9,0.67,Informational
how to identify a gifted toddler,98.0,30,0,0.00%,2.00%,0,32.3,Long-term Target,Low,5,0.89,Informational
