#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
6623,easytutor,us,,10,,,,,,100,,,2020-03-29,"Informational,Branded,Non-local"
6624,claire's canada francais,us,,10,,,,,,100,,,2020-11-09,
6625,english and maths tutors near me,us,22,10,9.00,,math tutors near me,2025-05-22 22:06:07,"Local pack,People also ask,Sitelinks",80,250,250,2020-02-07,"Informational,Commercial,Non-branded,Local"
6626,for ages,us,,10,,,,,,450,,,2015-10-14,"Informational,Non-branded,Non-local"
6627,mastering mathematics,us,6,10,1.40,0.84,mastering mathematics,2025-05-07 09:44:38,"Sitelinks,People also ask,Top stories,Video preview",350,0,0,2015-09-18,"Informational,Non-branded,Non-local"
6628,academy of math,us,,10,2.00,1.21,,,,30,,,2015-09-14,"Informational,Branded,Non-local"
6629,e tutor world academy,us,,10,,,,,,400,,,2024-12-24,
6630,gifted and talented test samples year 7,us,,10,,,,,,30,,,2020-07-26,
6631,best maths teacher,us,,10,,,,,,350,,,2020-04-12,"Informational,Non-branded,Non-local"
6632,best maths apps for high school,us,,10,,,,,,50,,,2017-01-28,"Informational,Non-branded,Non-local"
6633,ai tutor online free,us,,10,,,,,,20,,,2024-03-07,
6634,elementary tutor online,us,30,10,,,tutor for elementary students,2023-06-23 08:17:29,"People also ask,Sitelinks",20,900,,2020-04-27,"Informational,Commercial,Non-branded,Non-local"
6635,math tutors needed,us,3,10,1.80,,math tutor jobs,2025-05-21 16:31:04,"People also ask,Sitelinks",10,1900,2000,2016-08-24,"Informational,Non-branded,Non-local"
6636,dyscalculia worksheets,us,0,10,,,dyscalculia resources for teachers,2025-05-31 03:51:18,"Sitelinks,Thumbnail",40,20,20,2016-01-24,"Informational,Non-branded,Non-local"
6637,confident symphony,us,,10,,,,,,250,,,2020-02-27,
6638,indian math tutor,us,0,10,3.00,,math tutor from india,2025-04-29 09:01:04,,20,,,2015-09-11,"Informational,Commercial,Non-branded,Non-local"
6639,co tutor,us,,10,,,,,,100,,,2018-06-19,"Informational,Non-branded,Non-local"
6640,elon musk.school,us,,10,,,,,,10,,,2020-05-30,
6641,engine problems scotts valley,us,,10,,,,,,20,,,2016-05-13,
6642,go math academy access code,us,0,10,,,go math academy access code,2025-05-10 14:42:40,"Sitelinks,People also ask",10,0,0,2020-02-04,"Informational,Branded,Non-local"
6643,best video game for kids,us,22,10,,,kids video games,2025-05-23 03:47:04,"Thumbnail,People also ask,Discussions,Sitelinks,Top stories",40,1900,3400,2016-07-15,"Informational,Commercial,Non-branded,Non-local"
6644,find maths tutor near me,us,,10,,,,,,20,,,2020-01-18,"Informational,Commercial,Non-branded,Local"
6645,best apps for times tables,us,,10,,,,,,20,,,2020-02-04,
6646,kids camp 2025,us,,10,,,,,,30,,,2024-08-30,
6647,get tutor,us,,10,4.50,,,,,100,,,2017-08-27,"Informational,Commercial,Transactional,Non-branded,Non-local"
6648,elon promo code,us,,10,,,,,,40,,,2015-09-04,
6649,children maths,us,,10,,,,,,70,,,2020-01-24,"Informational,Non-branded,Non-local"
6650,best free ai for maths,us,,10,,,,,,50,,,2023-11-23,
6651,ai math teachers,us,,10,,,,,,20,,,2024-01-22,
6652,math tuto,us,,10,,,,,,30,,,2015-10-09,
6653,logarithms with fractions,us,,10,,,,,,10,,,2015-12-11,"Informational,Non-branded,Non-local"
6654,kids ai classes,us,,10,,,,,,20,,,2018-04-25,
6655,best math classes online,us,,10,3.50,,,,,40,,,2017-02-15,
6656,android math,us,,10,,,,,,10,,,2016-04-07,"Informational,Branded,Non-local"
6657,join999math,us,,10,,,,,,10,,,2023-11-02,
6658,mathematics software for students,us,,10,1.60,,,,,20,,,2016-08-23,"Informational,Non-branded,Non-local"
6659,grade 8 science tutor,us,,10,,,,,,20,,,2020-12-14,
6660,kids learning platform,us,,10,,,,,,40,,,2020-02-14,"Informational,Non-branded,Non-local"
6661,learning video games for 4 year olds,us,,10,,,,,,10,,,2021-02-04,
6662,joshua olds,us,,10,,0.36,,,,20,,,2015-09-13,"Informational,Non-branded,Non-local"
6663,math learning center app,us,,10,,,,,,10,,,2019-10-07,
6664,digital tutoring,us,3,10,0.00,,digitaltutors,2023-06-15 04:30:24,"People also ask,Local pack,Image pack",30,700,,2015-12-11,"Informational,Non-branded,Non-local"
6665,maths private tutor near me,us,28,10,6.00,,math tutors near me,2025-05-12 22:39:10,"Local pack,People also ask,Sitelinks",60,3200,3300,2020-01-10,"Informational,Commercial,Transactional,Non-branded,Local"
6666,growth mindset in kindergarten,us,,10,0.30,,,,,30,,,2017-02-26,
6667,how do you study math,us,6,10,0.80,,how to study math,2025-05-07 04:08:54,"AI overview,Sitelinks,People also ask,Discussions,Top stories,Video preview",20,200,450,2015-09-07,"Informational,Non-branded,Non-local"
6668,esa teaching,us,,10,0.00,,,,,40,,,2016-09-10,"Informational,Non-branded,Non-local"
6669,educational game for 4 year old,us,43,10,,,abcya 3,2025-05-07 11:59:20,"Sitelinks,Shopping,Thumbnail,Top stories,Discussions",40,9900,12000,2015-11-30,"Informational,Commercial,Non-branded,Non-local"
6670,best after school activities for learning,us,,10,,,,,,10,,,2024-10-23,
6671,list of educational video games for kids,us,,10,,,,,,10,,,2025-04-14,"Informational,Non-branded,Non-local"
6672,math tutor online in united states,us,,10,,,,,,10,,,2025-02-09,
6673,after school activities ideas for middle schoolers,us,4,10,,,after school activities for middle schoolers,2025-05-07 20:21:03,"People also ask,Sitelinks,Discussions,Top stories,Video preview,Thumbnail",30,150,200,2016-04-29,"Informational,Non-branded,Non-local"
6674,free online tutors for math,us,,10,0.00,,,,,20,,,2015-09-01,"Informational,Non-branded,Non-local"
6675,first tutors login,us,,10,,,,,,250,,,2016-09-19,"Navigational,Branded,Non-local"
6676,algebra 2 tutor online free,us,26,10,1.60,,algebra 2 tutor,2025-05-28 12:31:16,"Sitelinks,People also ask",10,150,150,2015-09-30,"Informational,Non-branded,Non-local"
6677,free online courses for 14 year olds uk,us,,10,,,,,,90,,,2020-06-02,
6678,best maths tutors near me,us,,10,,,,,,50,,,2020-01-10,
6679,educational video examples,us,,10,,,,,,20,,,2020-03-13,
6680,best online tutor platform,us,37,10,,,online tutoring services,2023-06-16 08:22:50,"Featured snippet,Thumbnail,People also ask",40,4000,,2020-06-08,"Informational,Commercial,Non-branded,Non-local"
6681,after school activities examples,us,1,10,,,activities for after school program,2025-06-05 17:59:58,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions",30,450,450,2020-01-19,"Informational,Non-branded,Non-local"
6682,best teacher for maths,us,,10,,,,,,150,,,2020-01-31,
6683,home education tutors,us,8,10,3.50,,home school teachers near me,2025-05-31 07:07:40,"People also ask,Sitelinks,Local pack",100,10,10,2020-01-20,"Informational,Commercial,Non-branded,Non-local"
6684,computer tutoring online,us,,10,,,,,,20,,,2023-12-22,
6685,maths tuition for class 12,us,,10,,,,,,30,,,2020-05-01,
6686,dyscalculia test online free,us,,10,,0.8,,,,40,,,2015-12-06,"Informational,Non-branded,Non-local"
6687,maths for 8 year olds,us,2,10,,,math for 8 year olds,2023-06-23 11:43:41,"People also ask,Sitelinks,Image pack,Shopping Ads,Thumbnail",200,30,,2020-01-12,"Informational,Non-branded,Non-local"
6688,after school activities for 7 year olds,us,,10,,,,,,30,,,2016-12-26,
6689,english and math tutors near me,us,12,10,9.00,,math tutors near me,2025-05-22 10:18:54,"Local pack,People also ask",30,3100,3200,2020-02-26,"Informational,Commercial,Non-branded,Local"
6690,how to learn math online,us,,10,1.50,,,,,20,,,2016-03-19,"Informational,Non-branded,Non-local"
6691,app for helping kids learn math,us,,10,,,,,,20,,,2023-01-03,
6692,ai math game,us,,10,,,,,,20,,,2024-04-06,
6693,grade 11 english tutor,us,,10,,,,,,20,,,2020-12-02,
6694,i cant do math,us,9,10,,,why cant i understand math,2025-05-29 22:55:55,"Sitelinks,People also ask",10,150,200,2015-09-01,"Informational,Non-branded,Non-local"
6695,home tutions,us,,10,4.50,,,,,600,,,2020-01-11,"Informational,Commercial,Non-branded,Non-local"
6696,environment summer programmes 5 year old,us,,10,,,,,,20,,,2022-02-17,
6697,child lock app for android,us,,10,,0.33,,,,30,,,2015-10-28,"Informational,Commercial,Branded,Non-local"
6698,download things my son needs to know about the world,us,,10,,,,,,10,,,2024-09-07,
6699,astro multi language,us,,10,,,,,,50,,,2022-12-16,
6700,daddy boot camp classes near me,us,,10,,,,,,20,,,2018-07-13,
6701,1 tesla is equal to,us,,10,,,,,,3200,,,2015-09-16,"Informational,Non-branded,Non-local"
6702,maths for 10 year olds,us,,10,0.70,,,,,200,,,2019-01-12,"Informational,Non-branded,Non-local"
6703,elon apk download for android,us,,10,,,,,,10,,,2024-12-19,
6704,math computer programs for kids,us,,10,,,,,,20,,,2018-05-25,"Informational,Commercial,Non-branded,Non-local"
6705,baby sign language flash cards free download,us,9,10,,,flash cards free printable baby sign language,2025-05-29 12:33:54,Sitelinks,20,250,250,2017-10-12,"Informational,Non-branded,Non-local"
6706,educational videos and games for kids,us,,10,,,,,,10,,,2025-04-14,"Informational,Non-branded,Non-local"
6707,best apps for learning math adults,us,,10,,,,,,10,,,2015-10-18,
6708,google play game redirect,us,,10,,,,,,20,,,2024-11-14,
6709,elementary schools in santa monica,us,24,10,,,santa monica elementary school,,,30,,,2018-02-19,"Informational,Non-branded,Local"
6710,furst tutors,us,,10,,,,,,20,,,2020-01-09,
6711,math tutoring programs near me,us,85,10,11.00,,mathnasium,2025-05-30 22:24:05,"Local pack,People also ask,Sitelinks",20,44000,48000,2020-01-19,"Informational,Commercial,Non-branded,Local"
6712,math and science tutor online,us,,10,,,,,,30,,,2021-01-26,
6713,ai science tutor,us,,10,,,,,,10,,,2023-11-05,
6714,educational games for kids app,us,,10,,,,,,20,,,2017-06-19,
6715,critical thinking and problem solving free course,us,,10,,,,,,30,,,2022-10-01,
6716,1 on 1 tutoring online,us,,10,5.00,,,,,50,,,2020-09-02,
6717,learn tutoring,us,87,10,0.00,,learn to be tutoring,2025-05-16 20:12:34,"Sitelinks,People also ask,Top stories,Thumbnail,Local pack",70,20,90,2016-04-04,"Informational,Non-branded,Non-local"
6718,innovative lesson plan,us,,10,2.50,,,,,90,,,2018-07-25,"Informational,Non-branded,Non-local"
6719,how to teach your child multiplication,us,2,10,,,how to teach multiplication,2025-05-28 08:39:07,"People also ask,Sitelinks,Top stories,Video preview",20,1200,1700,2016-10-25,"Informational,Non-branded,Non-local"
6720,game teambuilding,us,,10,,,,,,100,,,2020-01-13,
6721,lifetime training ltd,us,,10,,,,,,20,,,2020-08-30,
6722,apps to learn multiplication tables,us,13,10,0.80,,times tables games,2025-05-22 00:49:34,"People also ask,Sitelinks,Discussions",20,1000,1000,2018-02-04,"Informational,Non-branded,Non-local"
6723,computer tutor online,us,,10,,,,,,20,,,2020-03-17,"Informational,Commercial,Transactional,Non-branded,Non-local"
6724,dyscalculia services,us,,10,0.70,,,,,10,,,2016-09-09,"Informational,Non-branded,Non-local"
6725,elon musk mathematics,us,,10,,,,,,30,,,2016-08-27,
6726,free beyond compare,us,,10,,,,,,10,,,2015-12-22,"Informational,Transactional,Branded,Non-local"
6727,calculus tutor castaic ca,us,,10,,,,,,20,,,2023-08-21,
6728,games educational games,us,93,10,,,,,,20,,,2020-05-19,"Informational,Non-branded,Non-local"
6729,learnanything,us,10,10,1.50,,learn anything,2025-05-29 09:32:58,Sitelinks,150,700,3700,2016-04-11,"Informational,Non-branded,Non-local"
6730,easy way to study multiplication table,us,,10,,,,,,40,,,2020-01-16,
6731,best online french tutor,us,24,10,10.00,,french tutor,2025-05-11 05:57:20,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",40,2200,4600,2020-01-13,"Informational,Commercial,Non-branded,Non-local"
6732,math online tutor free,us,,10,,,,,,20,,,2016-04-02,"Informational,Non-branded,Non-local"
6733,best games for 4 year olds ipad,us,9,10,0.90,,best ipad games for 4 year olds,2025-05-19 19:33:50,"Thumbnail,Sitelinks,People also ask,Top stories",10,150,150,2018-07-19,"Informational,Branded,Non-local"
6734,kids maths class,us,,10,,,,,,40,,,2020-10-04,
6735,math tutor for elementary students,us,,10,,,,,,20,,,2022-12-24,"Informational,Commercial,Non-branded,Non-local"
6736,math teaching online,us,73,10,3.00,,math programs for elementary,2025-05-27 18:46:43,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",30,2400,2500,2016-12-17,"Informational,Non-branded,Non-local"
6737,math memorization tool,us,,10,,,,,,10,,,2024-12-22,
6738,how to tutor maths,us,,10,1.60,,,,,60,,,2020-01-12,"Informational,Non-branded,Non-local"
6739,confidence-boosting items,us,,10,,,,,,20,,,2024-04-22,
6740,best video games for 9 year olds,us,33,10,,,kids video games,2025-06-02 10:16:53,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions",10,1600,3000,2017-06-14,"Informational,Non-branded,Non-local"
6741,children's admissions tutor,us,,10,,,,,,20,,,2023-06-27,
6742,educational games age 5,us,,10,,,,,,20,,,2022-12-12,"Informational,Non-branded,Non-local"
6743,ai tutoring app,us,,10,,,,,,20,,,2019-08-26,
6744,math tutor application,us,,10,1.30,,online tutoring jobs math,,,20,,,2018-02-05,"Informational,Non-branded,Non-local"
6745,best home tutors near me,us,,10,10.00,,,,,350,,,2018-12-23,
6746,1 to 1 tutor,us,59,10,6.00,,1 on 1 tutoring,2025-06-01 09:21:23,"Sitelinks,People also ask",80,150,150,2020-01-09,"Informational,Commercial,Branded,Non-local"
6747,dyslexia tutor cost,us,,10,1.40,,,,,30,,,2020-01-23,"Informational,Commercial,Non-branded,Non-local"
6748,less than and greater than worksheets for kindergarten,us,,10,,,,,,40,,,2017-01-19,
6749,mathematics home tutor,us,,10,8.00,,,,,70,,,2020-01-29,"Informational,Commercial,Non-branded,Non-local"
6750,after school activities for middle school,us,,10,,,,,,10,,,2015-09-29,"Informational,Non-branded,Non-local"
6751,best math teacher in the world,us,,10,,,,,,30,,,2019-02-10,"Informational,Non-branded,Non-local"
6752,maths tuition for class 12 near me,us,,10,,,,,,150,,,2020-03-17,
6753,hire algebra tutors,us,,10,,,,,,20,,,2021-09-11,
6754,elon musk la ai,us,,10,,,,,,200,,,2017-05-07,"Informational,Non-branded,Non-local"
6755,jobs for online math tutor,us,,10,,,,,,30,,,2020-06-08,
6756,does my child need a tutor,us,0,10,,,does my child need a tutor,2025-05-11 16:18:35,"People also ask,Sitelinks,Discussions,Top stories",30,10,10,2020-01-10,"Informational,Non-branded,Non-local"
6757,kids popular video games,us,,10,,,,,,10,,,2020-02-04,
6758,best ipad apps for 4 year olds,us,14,10,1.20,,best apps for 2-3 year olds free,2025-05-11 23:03:18,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",20,3200,3700,2015-12-26,"Informational,Non-branded,Non-local"
6759,la tutor,us,48,10,5.00,,la tutors 123,2025-05-15 15:52:36,"Sitelinks,People also ask",40,70,70,2015-10-29,"Informational,Commercial,Non-branded,Local"
6760,math help online for free,us,,10,,,,,,10,,,2019-01-14,"Informational,Non-branded,Non-local"
6761,fractions times,us,,10,,,,,,20,,,2017-07-15,"Informational,Non-branded,Non-local"
6762,dyscalculia courses for teachers,us,,10,,,,,,20,,,2021-09-26,
6763,maths tuition for kids,us,,10,,,,,,30,,,2020-04-29,
6764,educational video games for 5 year olds,us,75,10,1.10,,educational apps for kids,2025-05-08 23:24:56,"AI overview,Thumbnail,People also ask,Sitelinks,Shopping,Discussions",20,7500,11000,2016-02-11,"Informational,Non-branded,Non-local"
6765,educational games for kids that are fun,us,,10,,,,,,20,,,2025-04-13,"Informational,Non-branded,Non-local"
6766,games for kids 7,us,,10,,,,,,10,,,2015-10-14,"Informational,Commercial,Non-branded,Non-local"
6767,free math class online,us,64,10,,,khan academy,2023-06-15 23:56:53,People also ask,10,1920000,,2015-09-10,"Informational,Non-branded,Non-local"
6768,math tutor fees,us,,10,1.50,,,,,20,,,2016-07-25,"Informational,Non-branded,Non-local"
6769,5 senses education,us,,10,,,,,,350,,,2019-05-09,"Informational,Branded,Non-local"
6770,kids learning ipad,us,,10,,,,,,20,,,2016-07-23,"Informational,Commercial,Branded,Non-local"
6771,best math teacher on youtube,us,,10,1.30,,,,,100,,,2016-04-13,"Informational,Non-branded,Non-local"
6772,mathematics tutorial,us,66,10,,,free math tutorials,2023-06-23 23:25:09,People also ask,60,900,,2017-11-18,"Informational,Non-branded,Non-local"
6773,how to hire private spanish tutor,us,,10,,,,,,20,,,2021-05-19,
6774,afterschool ideas,us,,10,,,,,,20,,,2018-02-08,"Informational,Non-branded,Non-local"
6775,do tutors really help,us,,10,1.80,,,,,10,,,2016-09-16,"Informational,Non-branded,Non-local"
6776,dyslexia deutsch,us,,10,,,,,,2700,,,2015-09-20,"Informational,Non-branded,Non-local"
6777,games tesla,us,,10,,,,,,40,,,2020-01-30,
6778,chrome books for kids,us,,10,,,,,,20,,,2015-11-01,"Informational,Commercial,Non-branded,Non-local"
6779,best video games for kindergarteners,us,,10,,,,,,10,,,2016-03-19,"Informational,Non-branded,Non-local"
6780,maths tutorials online,us,87,10,0.00,,math lessons site,2025-05-08 00:37:41,"Sitelinks,People also ask",60,1900,2500,2018-12-02,"Informational,Non-branded,Non-local"
6781,math online classes from india,us,,10,3.50,,,,,30,,,2020-09-27,
6782,blessing ceo age,us,,10,,,,,,200,,,2021-09-05,
6783,best phones for 8 year olds,us,,10,1.40,,,,,20,,,2017-03-27,"Informational,Commercial,Non-branded,Non-local"
6784,how do you add unlike fractions,us,,10,0.45,,,,,10,,,2016-12-20,"Informational,Non-branded,Non-local"
6785,kids learning video games,us,,10,,,,,,10,,,2017-05-23,"Informational,Non-branded,Non-local"
6786,best ipad synth,us,1,10,,,ipad synth,2025-05-07 08:56:27,"Sitelinks,Discussions,Top stories,Thumbnail,Video preview",40,30,40,2016-09-04,"Informational,Branded,Non-local"
6787,kumon math program,us,,10,1.50,,,,,20,,,2015-10-08,"Informational,Branded,Non-local"
6788,astro gaming coupon code,us,10,10,0.20,1.58,astro promo code,2025-05-19 12:08:33,Sitelinks,10,200,200,2015-09-08,"Informational,Commercial,Transactional,Branded,Non-local"
6789,elon musk free digital download,us,,10,,,,,,10,,,2025-01-10,
6790,math tutor for adult,us,,10,,,,,,30,,,2019-05-15,
6791,app synergy,us,47,10,,,app synergy,2023-06-30 01:52:15,Sitelinks,40,0,,2020-01-14,"Informational,Branded,Non-local"
6792,math curriculum mastery games,us,,10,,,,,,20,,,2024-11-09,
6793,kids extracurriculars,us,,10,,,,,,20,,,2024-10-09,
6794,mathematics educator,us,,10,,,,,,30,,,2016-03-07,"Informational,Non-branded,Non-local"
6795,best toddler flash cards,us,1,10,,,flashcards for 1 year old,2025-05-29 22:33:04,"Top ads,Paid sitelinks,Sitelinks,People also ask,Shopping,Thumbnail,Discussions",10,40,40,2016-05-10,"Informational,Commercial,Non-branded,Non-local"
6796,college math tutor online free,us,54,10,,,schoolhouse,2025-05-27 17:27:34,"AI overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads",20,15000,20000,2015-10-12,"Informational,Non-branded,Non-local"
6797,extracurricular activities for boys,us,,10,,,,,,20,,,2015-12-21,
6798,chrisman frank,us,,10,,,,,,10,,,2020-11-12,"Informational,Non-branded,Non-local"
6799,elon download apk,us,,10,,,,,,10,,,2024-12-06,
6800,lifetime in spanish,us,,10,,0.19,,,,10,,,2016-11-01,"Informational,Non-branded,Non-local"
6801,kids build your own computer,us,3,10,,1.11,kids build your own computer,2025-06-05 10:17:33,"Shopping,Thumbnail,Sitelinks,Discussions,People also ask,Top stories",20,10,10,2015-11-04,"Informational,Commercial,Non-branded,Non-local"
6802,android mentor,us,,10,,,,,,100,,,2020-01-22,
6803,making math real training,us,0,10,,,making math real,2025-05-13 18:53:07,"People also ask,Sitelinks",20,20,20,2017-01-31,"Informational,Branded,Non-local"
6804,how do i learn math,us,,10,1.10,,,,,20,,,2016-05-02,"Informational,Non-branded,Non-local"
6805,ai-tutor,us,,10,,,,,,50,,,2023-05-07,
6806,how can underchallenged children be challenged more in the classroom?,us,0,10,,,how can underchallenged children be challenged more in the classroom?,2025-06-05 05:17:30,"People also ask,Sitelinks",10,10,10,2021-03-06,"Informational,Non-branded,Non-local"
6807,learning video game,us,,10,0.60,,,,,10,,,2015-10-28,"Informational,Non-branded,Non-local"
6808,8605 santa monica blvd.,us,,10,,,,,,10,,,2019-02-20,
6809,math tutors free,us,,10,,,,,,20,,,2018-12-04,
6810,flash cards of numbers,us,,10,,,,,,60,,,2018-10-10,
6811,how to be a tutor in canada,us,,10,,,,,,30,,,2020-05-15,
6812,game for education,us,,10,,,,,,100,,,2017-02-23,
6813,learning games for boys,us,,10,,,,,,10,,,2016-01-30,"Informational,Non-branded,Non-local"
6814,gratis lektiehjælp,us,,,,,,,,20,,,2020-01-17,
6815,math best teacher,us,,,,,,,,150,,,2021-01-30,
6816,cpm tutoring,us,,,,,,,,,,,2025-02-10,
6817,go student tutor pay,us,,,,,,,,20,,,2021-11-04,
6818,long valley tutors,us,,,,,,,,,,,2016-06-28,
6819,ai math for kids,us,,,,,,,,,,,2022-04-05,
6820,best educational games for 5 year olds ipad,us,,,,,,,,,,,2021-03-14,
6821,first tutor login,us,,,,,,,,20,,,2020-01-12,
6822,math tuition teacher,us,,,,,,,,90,,,2020-01-11,"Informational,Commercial,Non-branded,Non-local"
6823,how to make child learn tables,us,,,,,,,,10,,,2020-01-19,
6824,fractions tutorial,us,,,,,,,,10,,,2015-09-11,"Informational,Non-branded,Non-local"
6825,maths tuition at home,us,,,,,,,,80,,,2020-03-12,
6826,class 5 maths tuition,us,,,,,,,,,,,2025-04-24,
6827,best math apps for kids android,us,,,,,,,,,,,2016-06-16,
6828,easy-tutor,us,,,3.00,,,,,150,,,2018-09-09,"Informational,Branded,Non-local"
6829,complex systems tutors,us,,,,,,,,,,,2020-01-12,
6830,educational summer camp programs,us,,,,,,,,,,,2024-12-01,
6831,kids camping counting worksheets,us,,,,,,,,10,,,2024-10-21,
6832,math makes sense 3,us,,,,,,,,60,,,2020-08-08,"Informational,Branded,Non-local"
6833,intimidated in spanish,us,,,,,,,,,,,2016-03-08,"Informational,Non-branded,Non-local"
6834,interactive learning game for kids,us,,,,,,,,10,,,2025-02-05,
6835,kids camp website design,us,,,,,,,,,,,2020-01-10,
6836,fun school video games,us,,,,,,,,10,,,2020-03-06,
6837,after school care activity ideas,us,2,,,,after school activities,2025-05-31 18:06:08,"Featured snippet,People also ask,Thumbnail,Sitelinks,Discussions",20,1600,2100,2018-08-20,"Informational,Non-branded,Non-local"
6838,fun activities for after school,us,,,,,,,,,,,2017-03-08,"Informational,Non-branded,Non-local"
6839,compete pronunciation,us,,,,,,,,20,,,2015-09-08,"Informational,Non-branded,Non-local"
6840,card platform adaptive cards,us,,,,,,,,10,,,2021-10-25,
6841,amazon summer school,us,,,,,,,,700,,,2015-09-17,
6842,after school activities for young people,us,,,,,,,,10,,,2020-01-09,
6843,how to do tutoring with kids classes,us,,,,,,,,,,,2020-11-11,
6844,educational console games,us,,,,,,,,,,,2016-02-23,"Informational,Non-branded,Non-local"
6845,dhan ceo,us,,,,,,,,150,,,2022-06-11,
6846,fun educational video games,us,,,,,,,,,,,2020-01-15,"Informational,Non-branded,Non-local"
6847,math tutoring for adults free online,us,,,,,,,,,,,2015-09-30,"Informational,Non-branded,Non-local"
6848,kumon starting age,us,,,1.20,,,,,20,,,2016-04-03,"Informational,Branded,Non-local"
6849,chinese pronunciation game,us,,,,,,,,,,,2025-02-10,
6850,synergy math,us,,,,,,,,,,,2019-05-20,
6851,maths online tutoring jobs,us,,,,,,,,40,,,2020-11-10,"Informational,Non-branded,Non-local"
6852,how to say joshua in spanish,us,0,,,,joshua in spanish,2025-05-28 01:58:30,"AI overview,Featured snippet,People also ask,Sitelinks",10,150,150,2015-11-10,"Informational,Non-branded,Non-local"
6853,masterteam,us,,,,,,,,70,,,2018-08-02,"Informational,Branded,Non-local"
6854,esa maths,us,,,,,,,,,,,2025-03-13,
6855,how many educational video games are there,us,,,,,,,,,,,2018-04-09,
6856,free math ai tutor,us,,,,,,,,,,,2024-09-18,
6857,how to see google play reviews in other languages,us,,,,,,,,,,,2020-04-28,
6858,best educational video games for kids,us,,,,,,,,,,,2019-01-26,"Informational,Non-branded,Non-local"
6859,experienced maths tutor,us,,,,,,,,60,,,2020-01-19,
6860,best maths online classes,us,,,,,,,,30,,,2020-04-10,
6861,jeu de multiplication en ligne,us,,,,,,,,250,,,2017-04-18,
6862,first tutors.com,us,,,,,,,,20,,,2020-01-14,
6863,get math help online,us,,,,,,,,,,,2017-11-12,"Informational,Non-branded,Non-local"
6864,less than more than worksheets for kindergarten,us,,,,,,,,40,,,2020-02-09,
6865,home tutor for class 7,us,,,,,,,,10,,,2020-02-09,
6866,geometry 2 tutors,us,,,,,,,,,,,2020-01-20,
6867,systhesis tutor,us,,,,,,,,,,,2024-11-18,
6868,maths cover design,us,,,,,,,,100,,,2020-04-30,
6869,ai homeschool teacher,us,,,,,,,,10,,,2024-10-24,
6870,math ai tutor free,us,,,,,,,,10,,,2023-12-19,
6871,free training tutorial math games,us,,,,,,,,,,,2016-09-20,"Informational,Non-branded,Non-local"
6872,grade 8 math tutor,us,,,,,,,,10,,,2015-11-15,
6873,math 2 tutors,us,,,,,,,,,,,2020-01-16,
6874,joshua dahn wikipedia,us,,,,,,,,,,,2021-11-19,
6875,maths online tutoring program,us,,,,,,,,,,,2023-04-16,"Informational,Commercial,Non-branded,Non-local"
6876,ai tutor school,us,,,,,,,,10,,,2025-02-26,
6877,8th grade math tutoring near me,us,,,,,,,,,,,2020-01-12,
6878,china custom smart kids learning table,us,,,,,,,,,,,2025-02-26,
6879,josh skills coupon code,us,,,,,,,,80,,,2022-08-28,"Informational,Commercial,Transactional,Branded,Non-local"
6880,clm tutoring,us,,,,,,,,,,,2025-02-17,
6881,best math teacher near me,us,,,,,,,,150,,,2020-03-10,
6882,29 table maths,us,,,,,,,,150,,,2020-02-10,
6883,how much does a tutor cost per hour in canada,us,,,,,,,,20,,,2020-03-18,
6884,basic math tutoring online,us,,,,,,,,,,,2025-04-13,
6885,educational videos games,us,,,,,,,,,,,2017-08-21,
6886,link tutor,us,,,,,,,,30,,,2016-12-07,
6887,grade 3 math tutor,us,,,,,,,,10,,,2020-12-06,
6888,dyslexia in maths name,us,,,,,,,,20,,,2022-09-23,
6889,master maths fees,us,,,,,,,,200,,,2020-01-10,
6890,go programming tutors,us,,,,,,,,,,,2018-04-10,
6891,school friendly video games,us,,,,,,,,,,,2020-11-10,
6892,best online maths teacher for class 12,us,,,,,,,,20,,,2021-12-30,
6893,best educational video games for 5 year olds,us,,,,,,,,,,,2017-08-02,
6894,beyond compare excel,us,,,,,,,,10,,,2017-10-26,"Informational,Branded,Non-local"
6895,live online math help,us,,,2.50,,,,,10,,,2015-09-05,"Informational,Non-branded,Non-local"
6896,free mom teaching,us,,,,,,,,,,,2017-02-12,"Informational,Non-branded,Non-local"
6897,astra primary school,us,,,,,,,,200,,,2020-10-28,
6898,elon musk promo code latest,us,,,,,,,,,,,2025-04-16,
6899,free online science tutor,us,,,2.50,,,,,10,,,2017-02-02,"Informational,Non-branded,Non-local"
6900,home tuition maths,us,,,,,,,,40,,,2020-03-20,
6901,school elon musk,us,,,,,,,,10,,,2017-04-24,
6902,kindergarten tutoring online,us,,,,,,,,,,,2021-05-16,
6903,best free chromebook apps for elementary students,us,,,1.30,,,,,10,,,2019-06-24,"Informational,Non-branded,Non-local"
6904,learning games for primary school,us,,,,,,,,10,,,2020-01-16,"Informational,Non-branded,Non-local"
